aaa,whois.nic.aaa
miami,whois.nic.miami
mn,whois.nic.mn
mobi,whois.afilias.net
moda,whois.nic.moda
moe,whois.nic.moe
money,whois.nic.money
mortgage,whois.nic.mortgage
movie,whois.nic.movie
ms,whois.nic.ms
mx,whois.mx
na,whois.na-nic.com.na
name,whois.nic.name
navy,whois.nic.navy
net.za,net-whois.registry.net.za
network,whois.nic.network
news,whois.nic.news
ninja,whois.nic.ninja
nyc,whois.nic.nyc
one,whois.nic.one
onl,whois.afilias-srs.net
online,whois.nic.online
org,whois.pir.org
org.za,org-whois.registry.net.za
page,whois.nic.google
paris,whois.nic.paris
partners,whois.nic.partners
parts,whois.nic.parts
party,whois.nic.party
pet,whois.afilias.net
photography,whois.nic.photography
photos,whois.nic.photos
pictures,whois.nic.pictures
pink,whois.afilias.net
pizza,whois.nic.pizza
place,whois.nic.place
plumbing,whois.nic.plumbing
plus,whois.nic.plus
pm,whois.nic.pm
poker,whois.afilias.net
porn,whois.nic.porn
pr,whois.nic.pr
productions,whois.nic.productions
promo,whois.afilias.net
properties,whois.nic.properties
pub,whois.nic.pub
racing,whois.nic.racing
re,whois.nic.re
realestate,whois.nic.realestate
recipes,whois.nic.recipes
red,whois.afilias.net
rehab,whois.nic.reise
reise,whois.nic.reise
reisen,whois.nic.reisen
rentals,whois.nic.rentals
repair,whois.nic.repair
report,whois.nic.report
republican,whois.nic.republican
restaurant,whois.nic.restaurant
review,whois.nic.review
reviews,whois.nic.reviews
rich,whois.afilias-srs.net
rip,whois.nic.rip
rocks,whois.nic.rocks
rodeo,whois.nic.rodeo
ru,whois.ripn.net
run,whois.nic.run
sale,whois.nic.sale
salon,whois.nic.salon
sarl,whois.nic.sarl
sb,whois.nic.net.sb
school,whois.nic.school
schule,whois.nic.schule
science,whois.nic.science
services,whois.nic.services
sex,whois.nic.sex
sh,whois.nic.sh
shiksha,whois.afilias.net
shoes,whois.nic.shoes
shopping,whois.nic.shopping
show,whois.nic.show
singles,whois.nic.singles
sk,whois.sk-nic.sk
ski,whois.afilias.net
sn,whois.nic.sn
so,whois.nic.so
soccer,whois.nic.soccer
social,whois.nic.social
software,whois.nic.software
solar,whois.nic.solar
solutions,whois.nic.solutions
studio,whois.nic.studio
study,whois.nic.study
style,whois.nic.style
su,whois.ripn.net
supplies,whois.nic.supplies
supply,whois.nic.supply
support,whois.nic.support
surf,whois.nic.surf
surgery,whois.nic.surgery
sydney,whois.nic.sydney
systems,whois.nic.systems
tax,whois.nic.tax
taxi,whois.nic.taxi
team,whois.nic.team
technology,whois.nic.technology
tel,whois.nic.tel
tennis,whois.nic.tennis
tf,whois.nic.tf
th,whois.thnic.net
theater,whois.nic.theater
tienda,whois.nic.tienda
tips,whois.nic.tips
tires,whois.nic.tires
tl,whois.nic.tl
today,whois.nic.today
tools,whois.nic.tools
top,whois.nic.top
tours,whois.nic.tours
town,whois.nic.town
toys,whois.nic.toys
trade,whois.nic.trade
training,whois.nic.training
travel,whois.nic.travel
tube,whois.nic.tube
tv,whois.nic.tv
tw,whois.twnic.net.tw
ua,whois.net.ua
uk,whois.nic.uk
university,whois.nic.university
uno,whois.nic.uno
us,whois.nic.us
uz,whois.cctld.uz
vacations,whois.nic.vacations
ve,whois.nic.ve
vegas,whois.afilias-srs.net
ventures,whois.nic.ventures
vet,whois.nic.vet
vg,whois.nic.vg
viajes,whois.nic.viajes
video,whois.nic.video
villas,whois.nic.villas
vin,whois.nic.vin
vip,whois.nic.vip
vision,whois.nic.vision
vodka,whois.nic.vodka
vote,whois.afilias.net
voting,whois.nic.voting
voto,whois.afilias.net
voyage,whois.nic.voyage
wales,whois.nic.wales
watch,whois.nic.watch
web.za,web-whois.registry.net.za
webcam,whois.nic.webcam
wedding,whois.nic.wedding
wf,whois.nic.wf
win,whois.nic.win
wine,whois.nic.wine
work,whois.nic.work
works,whois.nic.works
world,whois.nic.world
wtf,whois.nic.wtf
xn,whois.afilias.net
xxx,whois.nic.xxx
xyz,whois.nic.xyz
yoga,whois.nic.yoga
yt,whois.nic.yt
zone,whois.nic.zone
